Seed,MAE,Param
122,-0.3306414288491738,"{'hidden_layer_size_0': 38, 'hidden_layer_size_1': 78, 'hidden_layer_size_2': 78}"
123,-0.35235618046894845,"{'hidden_layer_size_0': 15, 'hidden_layer_size_1': 91, 'hidden_layer_size_2': 8}"
124,-0.32658586209315577,"{'hidden_layer_size_0': 88, 'hidden_layer_size_1': 100, 'hidden_layer_size_2': 9}"
125,-0.31526683234851294,"{'hidden_layer_size_0': 13, 'hidden_layer_size_1': 46, 'hidden_layer_size_2': 8}"
126,-0.30455101032252774,"{'hidden_layer_size_0': 92, 'hidden_layer_size_1': 4, 'hidden_layer_size_2': 8}"
127,-0.3595905614691103,"{'hidden_layer_size_0': 81, 'hidden_layer_size_1': 8, 'hidden_layer_size_2': 39}"
128,-0.20640932264977974,"{'hidden_layer_size_0': 10, 'hidden_layer_size_1': 8, 'hidden_layer_size_2': 37}"
129,-0.36453442447733664,"{'hidden_layer_size_0': 85, 'hidden_layer_size_1': 40, 'hidden_layer_size_2': 18}"
130,-0.34974674296575337,"{'hidden_layer_size_0': 72, 'hidden_layer_size_1': 39, 'hidden_layer_size_2': 8}"
131,-0.34268699696575466,"{'hidden_layer_size_0': 59, 'hidden_layer_size_1': 58, 'hidden_layer_size_2': 42}"
132,-0.4400727168286769,"{'hidden_layer_size_0': 71, 'hidden_layer_size_1': 8, 'hidden_layer_size_2': 17}"
133,-0.33105471532006614,"{'hidden_layer_size_0': 25, 'hidden_layer_size_1': 8, 'hidden_layer_size_2': 50}"
134,-0.341779045568126,"{'hidden_layer_size_0': 37, 'hidden_layer_size_1': 99, 'hidden_layer_size_2': 22}"
135,-0.4130668993325258,"{'hidden_layer_size_0': 21, 'hidden_layer_size_1': 59, 'hidden_layer_size_2': 52}"
136,-0.363898177414806,"{'hidden_layer_size_0': 77, 'hidden_layer_size_1': 18, 'hidden_layer_size_2': 17}"
137,-0.3780194538438818,"{'hidden_layer_size_0': 31, 'hidden_layer_size_1': 47, 'hidden_layer_size_2': 55}"
138,-0.3792377801314458,"{'hidden_layer_size_0': 78, 'hidden_layer_size_1': 67, 'hidden_layer_size_2': 48}"
139,-0.35778017483287117,"{'hidden_layer_size_0': 3, 'hidden_layer_size_1': 67, 'hidden_layer_size_2': 84}"
140,-0.3319464732880604,"{'hidden_layer_size_0': 45, 'hidden_layer_size_1': 72, 'hidden_layer_size_2': 50}"
141,-0.32176249291850967,"{'hidden_layer_size_0': 18, 'hidden_layer_size_1': 59, 'hidden_layer_size_2': 15}"
142,-0.3099165981161176,"{'hidden_layer_size_0': 17, 'hidden_layer_size_1': 20, 'hidden_layer_size_2': 15}"
143,-0.16992653164446547,"{'hidden_layer_size_0': 19, 'hidden_layer_size_1': 13, 'hidden_layer_size_2': 34}"
144,-0.3786160871453659,"{'hidden_layer_size_0': 66, 'hidden_layer_size_1': 43, 'hidden_layer_size_2': 72}"
145,-0.07380924320439541,"{'hidden_layer_size_0': 24, 'hidden_layer_size_1': 88, 'hidden_layer_size_2': 4}"
146,-0.30078300345400655,"{'hidden_layer_size_0': 71, 'hidden_layer_size_1': 13, 'hidden_layer_size_2': 75}"
147,-0.4071491414248367,"{'hidden_layer_size_0': 41, 'hidden_layer_size_1': 79, 'hidden_layer_size_2': 42}"
148,-0.3351365556527527,"{'hidden_layer_size_0': 29, 'hidden_layer_size_1': 35, 'hidden_layer_size_2': 20}"
149,-0.3023147400595084,"{'hidden_layer_size_0': 39, 'hidden_layer_size_1': 62, 'hidden_layer_size_2': 4}"
