Seed,MAE,Param
155,-0.4277732615320684,"{'n_estimators': 5, 'max_depth': 44}"
156,-0.37790057097515306,"{'n_estimators': 10, 'max_depth': 15}"
157,-0.7800239977823689,"{'n_estimators': 30, 'max_depth': 8}"
158,-0.5359485429335145,"{'n_estimators': 21, 'max_depth': 16}"
159,-0.4929308955669094,"{'n_estimators': 61, 'max_depth': 5}"
160,-0.4141819971851236,"{'n_estimators': 15, 'max_depth': 35}"
161,-0.3206253771597697,"{'n_estimators': 85, 'max_depth': 12}"
162,-0.432016004562353,"{'n_estimators': 64, 'max_depth': 5}"
163,-0.8169355957935932,"{'n_estimators': 16, 'max_depth': 8}"
164,-0.4009799036449315,"{'n_estimators': 35, 'max_depth': 20}"
165,-0.6470373242014819,"{'n_estimators': 19, 'max_depth': 6}"
166,1.0774928731508835,"{'n_estimators': 98, 'max_depth': 24}"
167,-0.20018734929720894,"{'n_estimators': 100, 'max_depth': 12}"
168,-0.40505676772615684,"{'n_estimators': 18, 'max_depth': 35}"
169,-0.49983579546163803,"{'n_estimators': 96, 'max_depth': 12}"
170,-0.37271062567635427,"{'n_estimators': 100, 'max_depth': 26}"
171,-0.678564489472236,"{'n_estimators': 44, 'max_depth': 14}"
172,-0.6880476987860009,"{'n_estimators': 100, 'max_depth': 45}"
173,-0.6433224896986437,"{'n_estimators': 100, 'max_depth': 10}"
174,-0.5754770520836392,"{'n_estimators': 68, 'max_depth': 9}"
175,-0.6609527549306424,"{'n_estimators': 91, 'max_depth': 17}"
176,-0.5375727136690807,"{'n_estimators': 98, 'max_depth': 21}"
177,-0.36647942337777406,"{'n_estimators': 57, 'max_depth': 26}"
178,-0.5962023052263077,"{'n_estimators': 13, 'max_depth': 15}"
179,-0.47171327780520844,"{'n_estimators': 84, 'max_depth': 37}"
180,-0.7170677293015155,"{'n_estimators': 68, 'max_depth': 34}"
181,-0.3929663589199579,"{'n_estimators': 18, 'max_depth': 19}"
182,-0.7323318240845873,"{'n_estimators': 100, 'max_depth': 17}"
183,-0.6562518801879857,"{'n_estimators': 27, 'max_depth': 12}"
184,-0.24929814172652787,"{'n_estimators': 92, 'max_depth': 18}"
185,-0.2891978769670772,"{'n_estimators': 87, 'max_depth': 33}"
186,-0.5172265512496497,"{'n_estimators': 9, 'max_depth': 29}"
187,-0.656725708781529,"{'n_estimators': 26, 'max_depth': 11}"
188,-0.47976420651059803,"{'n_estimators': 94, 'max_depth': 15}"
189,-0.5389294603307,"{'n_estimators': 94, 'max_depth': 9}"
190,-0.36404529975248145,"{'n_estimators': 44, 'max_depth': 13}"
191,-0.5401432270225821,"{'n_estimators': 59, 'max_depth': 11}"
192,-0.5585204376814779,"{'n_estimators': 26, 'max_depth': 38}"
193,-0.5835097375941037,"{'n_estimators': 100, 'max_depth': 33}"
194,-0.13689843102949073,"{'n_estimators': 5, 'max_depth': 36}"
195,-0.5981972945205485,"{'n_estimators': 36, 'max_depth': 30}"
196,-0.6356994825937461,"{'n_estimators': 14, 'max_depth': 12}"
197,-0.6426303462526459,"{'n_estimators': 43, 'max_depth': 5}"
198,-0.4314812025139405,"{'n_estimators': 32, 'max_depth': 23}"
199,-0.5257592282339112,"{'n_estimators': 12, 'max_depth': 30}"
200,-0.7830714014156112,"{'n_estimators': 21, 'max_depth': 47}"
201,-0.7547299193325537,"{'n_estimators': 13, 'max_depth': 23}"
202,-0.6353091495195171,"{'n_estimators': 94, 'max_depth': 19}"
203,-0.6965152444859213,"{'n_estimators': 14, 'max_depth': 6}"
204,-0.36983930220346994,"{'n_estimators': 5, 'max_depth': 15}"
205,-0.5745411921386319,"{'n_estimators': 77, 'max_depth': 6}"
206,-0.6978443888959371,"{'n_estimators': 12, 'max_depth': 20}"
207,-0.6029185858103587,"{'n_estimators': 100, 'max_depth': 33}"
208,-0.545202872983227,"{'n_estimators': 91, 'max_depth': 13}"
209,-0.6492994133374483,"{'n_estimators': 37, 'max_depth': 6}"
210,-0.7397725593778358,"{'n_estimators': 67, 'max_depth': 20}"
211,-0.3461953714050433,"{'n_estimators': 6, 'max_depth': 15}"
212,-0.5050324005468385,"{'n_estimators': 69, 'max_depth': 7}"
213,-0.7654852446126731,"{'n_estimators': 5, 'max_depth': 39}"
214,-0.6299293904069292,"{'n_estimators': 11, 'max_depth': 28}"
215,-0.6353733174160137,"{'n_estimators': 13, 'max_depth': 19}"
216,-0.63721957442603,"{'n_estimators': 6, 'max_depth': 41}"
217,-0.5500190430635238,"{'n_estimators': 48, 'max_depth': 39}"
218,-0.5101484222865262,"{'n_estimators': 97, 'max_depth': 43}"
219,-0.14435884897533435,"{'n_estimators': 68, 'max_depth': 5}"
220,-0.2470048145074053,"{'n_estimators': 12, 'max_depth': 23}"
221,-0.5667295989934003,"{'n_estimators': 7, 'max_depth': 42}"
222,-0.6511809022210581,"{'n_estimators': 30, 'max_depth': 14}"
223,-0.6240443297166424,"{'n_estimators': 68, 'max_depth': 6}"
224,-0.5205800300034433,"{'n_estimators': 37, 'max_depth': 27}"
225,-0.5021083674843796,"{'n_estimators': 45, 'max_depth': 43}"
226,-0.2993891720619237,"{'n_estimators': 100, 'max_depth': 42}"
227,-0.6403107768170757,"{'n_estimators': 77, 'max_depth': 19}"
228,-0.4239478615826653,"{'n_estimators': 82, 'max_depth': 5}"
229,-0.617449414852533,"{'n_estimators': 40, 'max_depth': 7}"
230,-0.5476454734789618,"{'n_estimators': 65, 'max_depth': 12}"
231,-0.450177828546538,"{'n_estimators': 98, 'max_depth': 13}"
