训练集mae,测试集mae,整体mae,训练集mse,测试集mse,整体mse,训练集r2,测试集r2,整体r2
0.466925165,0.3682028,0.456828559,0.386000144,0.26877313,0.374011018,0.870870268,0.904797165,0.874169816
0.468032745,0.395895495,0.460655072,0.387476333,0.269976138,0.375459268,0.870173629,0.904770511,0.873682575
0.456414659,0.470983478,0.457904651,0.380000392,0.338318806,0.375737502,0.869109384,0.904367457,0.873588967
0.462173977,0.409590615,0.456796133,0.383225421,0.305869311,0.375314,0.869255447,0.904155568,0.873731448
0.452780862,0.5256944,0.460237928,0.369918356,0.460758351,0.37920881,0.866453131,0.902911859,0.8724211
0.465052832,0.417507523,0.460190243,0.386851529,0.275782451,0.375492192,0.870362619,0.902855548,0.873671498
0.462218467,0.431310038,0.459057378,0.379541333,0.347944831,0.376309873,0.86918845,0.902744597,0.873396402
0.461412036,0.394944162,0.454614185,0.382522944,0.323565615,0.376493217,0.869392546,0.902599709,0.873334719
0.451614261,0.54176864,0.460834595,0.37123421,0.454743583,0.379774942,0.866321981,0.90253525,0.872230634
0.464578508,0.436393211,0.461695921,0.387874382,0.272304806,0.376054766,0.86908432,0.901945902,0.873482229
0.46388316,0.397672371,0.457111602,0.384502241,0.293323441,0.375177137,0.870451298,0.901689581,0.873777494
0.465849349,0.359273308,0.454949526,0.391546725,0.221086191,0.374113261,0.871563946,0.901310324,0.874135418
0.455203531,0.484031317,0.458151827,0.378343002,0.346863477,0.375123506,0.869864472,0.900643285,0.873795537
0.468340091,0.397294106,0.461074024,0.384396578,0.310889225,0.376878781,0.869958491,0.899757576,0.873205002
0.458288227,0.446833176,0.457116688,0.381076391,0.337478295,0.376617495,0.869770814,0.899377571,0.873292907
0.463902273,0.425562418,0.459981152,0.382538023,0.307228965,0.37483596,0.870968942,0.898917991,0.873892277
0.459709399,0.448085151,0.458520555,0.377551054,0.371166252,0.376898063,0.869494002,0.898812923,0.873198515
0.467796115,0.395963425,0.46044959,0.388310731,0.257426464,0.37492484,0.870634551,0.898777302,0.873862375
0.464558382,0.392940678,0.457233844,0.389648449,0.239629536,0.374305606,0.871198661,0.897945005,0.874070706
0.461427723,0.410389039,0.456207858,0.384023135,0.304297806,0.375869408,0.869743237,0.897841492,0.87354459
0.466376935,0.380263107,0.457569839,0.382454263,0.331425832,0.377235446,0.86990269,0.89780091,0.873085007
0.467663483,0.415976202,0.462377283,0.379462838,0.358793873,0.377348967,0.869693244,0.897173266,0.873046815
0.467818254,0.402693565,0.461157775,0.377766586,0.349431952,0.374868725,0.870812369,0.897017495,0.873881254
0.467137308,0.391836159,0.459436054,0.384462889,0.28880839,0.374680043,0.871515511,0.896751989,0.873944733
0.463376453,0.403942962,0.457298028,0.382644477,0.299468457,0.374137838,0.871635683,0.896616915,0.874127149
0.461057216,0.461659473,0.461118811,0.377158003,0.36467686,0.375881522,0.868937547,0.896361842,0.873540514
0.449360482,0.549903783,0.45964332,0.367350413,0.486755078,0.379562254,0.866341232,0.896104786,0.872302189
0.457354156,0.439209527,0.455498455,0.37664406,0.354857847,0.374415924,0.871133082,0.895838314,0.874033592
0.453757568,0.514840936,0.460004731,0.374946743,0.414408949,0.37898265,0.868052799,0.895803031,0.872497188
0.453152254,0.501008686,0.458046662,0.370406502,0.437161504,0.377233718,0.869102803,0.895265445,0.873085589
0.461108206,0.416604091,0.456556649,0.384040578,0.303244238,0.375777316,0.87078067,0.895175743,0.873575572
0.455669204,0.484783644,0.458646817,0.38019128,0.343143549,0.376402307,0.869068471,0.894910818,0.873365304
0.466110365,0.478369474,0.467364137,0.381130583,0.364496809,0.379429402,0.868377176,0.894613703,0.872346885
0.463678793,0.410238418,0.4582133,0.383885214,0.304229886,0.375738646,0.871043157,0.894079375,0.873588582
0.459592092,0.488222583,0.46252021,0.375472312,0.381962533,0.376136085,0.869508777,0.893904054,0.87345487
0.45403083,0.487168283,0.457419888,0.376761285,0.364351999,0.375492154,0.870364972,0.893800217,0.873671511
0.447095131,0.542384261,0.456840611,0.367832854,0.453383111,0.376582312,0.868383911,0.893765994,0.873304744
0.459121102,0.49962676,0.463263726,0.367036768,0.489751423,0.379587131,0.868066443,0.891380987,0.87229382
0.46709183,0.394037441,0.459620358,0.389750747,0.24660069,0.3751104,0.87166597,0.891362623,0.873799946
0.456189381,0.483597907,0.458992526,0.373114783,0.405739548,0.376451406,0.869617425,0.891093173,0.873348785
0.461038665,0.463371844,0.461277286,0.381339078,0.321387062,0.375207621,0.8713408,0.890804208,0.873767237
