Seed,MAE,Param
124,-0.5772725473033321,"{'alpha': 0.9676412498667616, 'length_scale': 0.13728271017402774}"
125,-0.5678277317493245,"{'alpha': 0.6769230997694184, 'length_scale': 5.7213155233956465}"
126,-0.4002341155189524,"{'alpha': 0.7970433393284208, 'length_scale': 152.85916514992783}"
127,-0.4027807824140499,"{'alpha': 1.7896191203936689, 'length_scale': 119.04820884825298}"
128,-0.1936145152294011,"{'alpha': 1.2128778011230263, 'length_scale': 3985.41786233086}"
129,-0.3872864927097055,"{'alpha': 1.0928366233115483, 'length_scale': 1134.5227627233648}"
130,-0.5112872077196191,"{'alpha': 0.5260063335798294, 'length_scale': 68.0943594303266}"
131,-0.03158114437671744,"{'alpha': 0.9077166444094804, 'length_scale': 1.6866811795990064}"
132,-0.3721614978436488,"{'alpha': 0.3189131519863913, 'length_scale': 0.9306743783980389}"
133,-0.14622955718622166,"{'alpha': 0.9012886205710042, 'length_scale': 48.85432436367802}"
134,-0.3446462708374892,"{'alpha': 0.9904036907944294, 'length_scale': 11.795461061165149}"
135,-0.5653201626555187,"{'alpha': 0.3477574700993935, 'length_scale': 0.07361883444524704}"
136,-0.36997186376966884,"{'alpha': 1.2038650679751521, 'length_scale': 42.81715411245275}"
137,-0.5466621497078643,"{'alpha': 0.574870131593272, 'length_scale': 1.7024234120388824}"
138,-0.2829900996261231,"{'alpha': 0.6809033351514573, 'length_scale': 0.24991674483940754}"
139,-0.5637611850542817,"{'alpha': 1.0704137153721653, 'length_scale': 18.640071445947687}"
140,-0.1675625086079543,"{'alpha': 0.38000052921190464, 'length_scale': 0.742065441117073}"
141,-0.06316452054601596,"{'alpha': 3.049444226614499, 'length_scale': 3062.138001160959}"
142,-0.3150595527711364,"{'alpha': 1.457019345528213, 'length_scale': 0.06615255811349355}"
143,-0.20048315976767928,"{'alpha': 0.877899599825694, 'length_scale': 2.054273837197203}"
144,-0.298968238624303,"{'alpha': 0.5950542170131223, 'length_scale': 846.7846669785438}"
145,-0.1524304956208259,"{'alpha': 0.6382405435958389, 'length_scale': 80.17301631996756}"
146,-0.4107067881334465,"{'alpha': 0.7605807222122162, 'length_scale': 111.49277138915177}"
147,-0.31051385648810104,"{'alpha': 1.802365946169309, 'length_scale': 0.11212675414408173}"
148,-0.37835229552123983,"{'alpha': 0.36401068412160553, 'length_scale': 107.73782948393153}"
149,-0.18926617411613367,"{'alpha': 1.1765405686763375, 'length_scale': 0.11082365945989801}"
