formula_pretty,material_id,Cohesive_energy,Quality_index
Ta3Os2,mp-1218177,8.47,29.15
Re3Mo,mp-1219135,7.61,6.21
RuW,mp-1219476,7.72,6.64
ReMo,mp-1219485,7.32,4.41
ReW2,mp-1219490,8.53,5.57
ReW3,mp-1219491,8.62,6.32
ReMo3,mp-1219493,7.07,5.43
ReW4,mp-1219494,8.67,6.8
RuRh,mp-1219503,6.22,4.99
Rh3W,mp-1219506,6.62,6.82
ReOs,mp-1219509,8.18,6.29
ReMo3,mp-1219517,6.81,5.81
RuRh4,mp-1219522,5.94,3.93
ReIr3,mp-1219535,7.29,5.01
Re3Rh,mp-1219539,7.54,6.91
Re3Pt,mp-1219540,7.53,8.42
NiRu,mp-1219922,5.44,6.78
OsRu,mp-1220023,7.47,5.21
NiPd,mp-1220057,4.11,5.1
NbRe,mp-1220322,7.94,7.4
NbOs3,mp-1220360,7.98,8.39
NbRu3,mp-1220372,6.89,6.85
MoRu,mp-1221386,6.7,6.03
MoRh3,mp-1221397,6.11,6.53
MoIr,mp-1221414,7.08,6.05
MoOs,mp-1221418,7.42,6.65
MoRh,mp-1221419,6.38,6.17
MoIr4,mp-1221426,6.98,5.24
MoPt,mp-1221433,6.49,6.5
MoPt,mp-1221441,6.54,14.1
Mo2Rh,mp-1221484,6.5,9.45
MnIr,mp-1221583,4.98,4.88
MnCr,mp-1221647,3.44,4.83
Mo3Os2,mp-1221719,7.35,24.44
Mn7Sb4,mp-1221744,2.7,17.14
Mn7Fe3,mp-1221991,-4.57,14.28
LiAu,mp-1222403,3.13,9.91
InPt,mp-1223656,4.45,11.92
IrW,mp-1223778,8.09,6.86
In3Pt5,mp-1224042,4.89,20.42
In3Pt4,mp-1224298,4.88,24.07
FeRu,mp-1224803,5.39,4.63
FeRh,mp-1224847,4.85,3.49
FeCu,mp-1224945,3.71,6.63
FeNi,mp-1224976,4.36,6.91
FeCo,mp-1225016,4.34,6.74
Fe3Cu,mp-1225131,4.01,8.39
CoRu,mp-1225997,5.42,5.5
CoMo,mp-1226002,5.39,5.63
CoIr,mp-1226007,5.64,5.49
CoRh,mp-1226026,5,4.5
Co3Sn2,mp-1226032,3.84,11.61
Co3Sn,mp-1226145,3.87,9.08
CrRu,mp-1226177,5.29,5.97
CrMo,mp-1226200,5.35,6.05
CrFe,mp-1226211,4.1,5.9
Cr3Mo,mp-1226288,4.69,6.25
CrIr3,mp-1226316,6.3,5.03
Ba2Y,mp-1228459,2.43,32.14
Al4Ni15,mp-1228713,4.5,12.35
Al4Cu15,mp-1228752,3.57,10.75
AlFe3,mp-1228919,4.14,9.78
Al2Ni3,mp-1229048,4.55,10.24
Ag3Sn,mp-1229107,2.93,9.52
Ag3Ge,mp-1229108,3.1,9.36
MnAu4,mp-12565,3.71,11.63
CrRh3,mp-12585,5.41,5.69
MoRh,mp-12595,6.47,6.57
MnAu,mp-12674,3.37,8.45
MnAu,mp-12675,3.37,8.42
Cr3Ru,mp-1272,4.69,7.23
SrZn,mp-12724,1.74,17.89
AlCu3,mp-12777,3.63,7.27
VOs,mp-12778,6.97,4.84
AlCu3,mp-12802,3.65,7.91
Ti2Pd,mp-13164,4.96,11.31
SrRh2,mp-1328,4.63,9.62
ScZn2,mp-13503,2.54,13.4
Ba5Ga6,mp-1361615,2.79,48.86
VRu,mp-1395,6.24,5.06
Ti3Sb,mp-1412,4.7,8.53
FeNi3,mp-1418,4.49,8.48
TiCr2,mp-1425,4.46,12.26
RbGa7,mp-1460,2.67,47.24
Sn2Au,mp-1462,3.51,26.44
Zr2Al3,mp-1482,5.06,19.99
ZnNi,mp-1486,3.14,7.49
AlNi,mp-1487,4.58,7.43
YFe2,mp-1570,4.39,10.24
Sn2Pd,mp-1573,3.78,18.28
Ni2Ge,mp-1594,4.53,8.47
TaRu,mp-1601,7.73,5.89
Cr3Ir,mp-1609,4.88,8.01
Al3Ni5,mp-16514,4.61,12.66
AlPt2,mp-16526,5.88,16.17
Y3Al2,mp-16723,4.34,40.36
Sc5Ga3,mp-17332,4,26.72
Ti3Rh5,mp-17413,6.16,19.32
CaAl4,mp-1749,3.31,18.99
Ta5Ge3,mp-17593,6.86,17.43
Mg5Ga2,mp-1770,2,15.5
Nb5Ge3,mp-17910,6.6,34.25
FeRh,mp-1918,5.04,7.83
InSb,mp-19744,2.57,9.16
NiSb2,mp-19895,3.52,14.03
V3Ir,mp-2006,6.22,12.44
CoSn2,mp-20155,3.62,32.61
CaIn,mp-20263,2.76,12.38
InPt3,mp-20516,5.38,9.74
SbRh,mp-20619,4.73,21.62
FeCo,mp-2090,4.39,7.76
CuAu3,mp-2103,3.75,10.78
